typ,jahr,wert,quelle,beschreibung
grundfreibetrag,2025,11784,§32a Abs. 1 EStG (BGBl. 2023 I Nr. 293),Grundfreibetrag - steuerfrei
zone1_ende,2025,16573,§32a Abs. 1 Nr. 1 EStG,Ende Progressionszone 1 (bis 23.97%)
zone2_ende,2025,66760,§32a Abs. 1 Nr. 2 EStG,Ende Progressionszone 2 (bis 42%)
zone3_ende,2025,277825,§32a Abs. 1 Nr. 3 EStG,Beginn Reichensteuer (45%)
grundfreibetrag,2026,12096,§32a Abs. 1 EStG (BGBl. 2024 I Nr. 294),Grundfreibetrag - steuerfrei
zone1_ende,2026,17005,§32a Abs. 1 Nr. 1 EStG,Ende Progressionszone 1 (bis 23.97%)
zone2_ende,2026,66760,§32a Abs. 1 Nr. 2 EStG,Ende Progressionszone 2 (bis 42%)
zone3_ende,2026,277825,§32a Abs. 1 Nr. 3 EStG,Beginn Reichensteuer (45%)
