typ,jahr,wert,quelle,beschreibung
solidaritaetszuschlag_satz,2025,5.5,§4 SolZG,Soli-Satz in Prozent der Lohnsteuer
solidaritaetszuschlag_freigrenze,2025,17543,§3 SolZG,Soli Freigrenze (Jahres-Lohnsteuer in EUR)
solidaritaetszuschlag_obergrenze,2025,33183,§3 SolZG,Soli Obergrenze Gleitzone (Jahres-Lohnsteuer in EUR)
solidaritaetszuschlag_satz,2026,5.5,§4 SolZG,Soli-Satz in Prozent der Lohnsteuer
solidaritaetszuschlag_freigrenze,2026,17543,§3 SolZG,Soli Freigrenze (Jahres-Lohnsteuer in EUR)
solidaritaetszuschlag_obergrenze,2026,33183,§3 SolZG,Soli Obergrenze Gleitzone (Jahres-Lohnsteuer in EUR)
